ORDER_NUMBER,ACCOUNT_NUMBER,ACCOUNT_NAME,ORDER_DATE,CUSTOMER_ORDER_NO,DELIVERY_INSTRUCTIONS,ORDER_STATUS
"""6225005""","""1574660""","""A-000149446""",01/05/2018,"""1801-5BGN-S""",""" ""","""Completed"""
"""6225006""","""1573493""","""A-000148127""",01/05/2018,"""1801-ULWP-S""",""" ""","""Completed"""
"""6225008""","""1574376""","""A-000148728""",01/05/2018,"""1801-XZAE-S""",""" ""","""Completed"""
"""6225010""","""1573658""","""A-000148522""",01/05/2018,"""1801-6WKH-S""",""" ""","""Completed"""
"""6225011""","""1572169""","""A-000147796""",01/05/2018,"""1801-F4LE-S""",""" ""","""Completed"""
"""6225012""","""1571723""","""A-000144332""",01/05/2018,"""1801-5Y3N-S""",""" ""","""Completed"""
"""6225013""","""1571668""","""A-000144328""",01/05/2018,"""1801-UVZV-S""",""" ""","""Completed"""
"""6225014""","""1570757""","""A-000140839""",01/05/2018,"""1801-LFLF-S""",""" ""","""Completed"""
"""6225015""","""1570744""","""A-000140831""",01/05/2018,"""1801-F57U-S""",""" ""","""Completed"""
"""6225016""","""1569656""","""A-000136933""",01/05/2018,"""1801-4CPQ-S""",""" ""","""Completed"""
"""6225017""","""1570219""","""A-000138630""",01/05/2018,"""1801-BBM3-S""",""" ""","""Completed"""
"""6225018""","""1569324""","""A-000133884""",01/05/2018,"""1801-ZCNM-S""",""" ""","""Completed"""
"""6225019""","""1569303""","""A-000133866""",01/05/2018,"""1801-FFPP-S""",""" ""","""Completed"""
"""6225021""","""1569249""","""A-000133267""",01/05/2018,"""1801-U8Q3-S""",""" ""","""Completed"""
"""6225022""","""1568681""","""A-000132161""",01/05/2018,"""1801-SG9G-S""",""" ""","""Completed"""
"""6225023""","""1568664""","""A-000132149""",01/05/2018,"""1801-P3KM-S""",""" ""","""Completed"""
"""6225024""","""1568549""","""A-000132035""",01/05/2018,"""1801-3XT6-S""",""" ""","""Completed"""
"""6225025""","""1568528""","""A-000132015""",01/05/2018,"""1801-GW3Z-S""",""" ""","""Completed"""
"""6206396""","""1569790""","""A-000137325""",09/04/2018,"""""",""" ""","""Completed"""
"""7082576""","""1577505""","""A-000157599""",26/04/2018,"""Undercharged""",""" ""","""Completed"""
"""6225028""","""1568445""","""A-000131935""",01/05/2018,"""1801-7EZK-S""",""" ""","""Completed"""
"""6225029""","""1568633""","""A-000132121""",01/05/2018,"""1801-YJU7-S""",""" ""","""Completed"""
"""6225032""","""1568419""","""A-000131909""",01/05/2018,"""1801-9CMP-S""",""" ""","""Completed"""
"""6225034""","""1571951""","""A-000147751""",01/05/2018,"""1801-5HDB-S""",""" ""","""Completed"""
"""6225035""","""1567538""","""A-000128415""",01/05/2018,"""1801-NWZH-S""",""" ""","""Completed"""
"""6225036""","""1575677""","""A-000149840""",01/05/2018,"""1802-CJCL-S""",""" ""","""Completed"""
"""6225038""","""1576012""","""A-000149883""",01/05/2018,"""1802-HR3N-S""",""" ""","""Completed"""
"""6225040""","""1576065""","""A-000149885""",01/05/2018,"""1802-BDUN-S""",""" ""","""Completed"""
"""6225041""","""1576159""","""A-000150592""",01/05/2018,"""1803-6MN6-S""",""" ""","""Completed"""
"""6225042""","""1576267""","""A-000152664""",01/05/2018,"""1803-Q9DU-S""",""" ""","""Completed"""
"""6177953""","""1569790""","""A-000137325""",07/03/2018,"""1803-3VH6-O""","""Leave with caretakers Jeff or Lin""","""Completed"""
"""6194166""","""1577386""","""A-000156277""",26/03/2018,"""""",""" ""","""Completed"""
"""6194170""","""1577385""","""A-000156276""",26/03/2018,"""""",""" ""","""Completed"""
"""6184352""","""1577104""","""A-000153771""",14/03/2018,"""""",""" ""","""Completed"""
"""6198561""","""1577615""","""A-000157636""",01/04/2018,"""""",""" ""","""Completed/Cancelled"""
"""6198564""","""1577617""","""A-000157638""",01/04/2018,"""""",""" ""","""Completed"""
"""6176340""","""1576239""","""A-000151627""",06/03/2018,"""""",""" ""","""Completed"""
"""6185862""","""1577157""","""A-000154910""",16/03/2018,"""""",""" ""","""Completed"""
"""6185863""","""1577158""","""A-000154911""",16/03/2018,"""""",""" ""","""Completed"""
"""6197323""","""1577474""","""A-000156480""",26/04/2018,"""Reversing fix""",""" ""","""Completed"""
"""6227078""","""1568688""","""A-000132168""",02/05/2018,"""1801-G7KC-S""",""" ""","""Completed"""
"""6227079""","""1568336""","""A-000131711""",02/05/2018,"""1801-W56W-S""",""" ""","""Completed"""
"""6227080""","""1576995""","""A-000153209""",02/05/2018,"""1803-UPVL-S""",""" ""","""Completed"""
"""6180985""","""1569274""","""A-000133380""",15/05/2018,"""Fixing pricing error""",""" ""","""Completed"""
"""6184407""","""1569152""","""A-000133084""",14/03/2018,"""1803-SMJB-O""",""" ""","""Completed/Cancelled"""
"""6181006""","""1577001""","""A-000153211""",12/03/2018,"""""",""" ""","""Completed"""
"""6181162""","""1577002""","""A-000153212""",12/03/2018,"""""",""" ""","""Completed"""
"""6181453""","""1577029""","""A-000153224""",12/03/2018,"""""",""" ""","""Completed"""
"""6181454""","""1577029""","""A-000153224""",12/03/2018,"""""",""" ""","""Completed"""
"""6181455""","""1577031""","""A-000153226""",12/03/2018,"""""",""" ""","""Completed"""
"""6181456""","""1577033""","""A-000153228""",12/03/2018,"""""",""" ""","""Completed"""
"""6181457""","""1577036""","""A-000153231""",12/03/2018,"""""",""" ""","""Completed"""
"""6181458""","""1577037""","""A-000153232""",12/03/2018,"""""",""" ""","""Completed"""
"""6230466""","""1568606""","""A-000132097""",07/05/2018,"""1801-UALT-S""",""" ""","""Completed"""
"""6227082""","""1577283""","""A-000156058""",02/05/2018,"""1804-WL47-S""",""" ""","""Completed"""
"""6208871""","""1568637""","""A-000132125""",11/04/2018,"""1804-M959-O""","""Leave by the front door ""","""Completed/Cancelled"""
"""6209608""","""1578476""","""A-000161077""",12/04/2018,"""""",""" ""","""Completed"""
"""6210531""","""1568743""","""A-000132210""",14/04/2018,"""1804-YHG9-O""","""Leave by the front door ""","""Completed/Cancelled"""
"""6232730""","""1578504""","""A-000162269""",08/05/2018,"""1805-KW8Z-O""","""Leave by the front door ""","""Completed/Cancelled"""
"""6205951""","""1578368""","""A-000160171""",09/04/2018,"""""",""" ""","""Completed/Cancelled"""
"""6206158""","""1578369""","""A-000160172""",09/04/2018,"""""",""" ""","""Completed/Cancelled"""
"""6206165""","""1578373""","""A-000160173""",09/04/2018,"""""",""" ""","""Completed/Cancelled"""
"""6206295""","""1578375""","""A-000160174""",09/04/2018,"""""",""" ""","""Completed"""
"""6206296""","""1578375""","""A-000160174""",09/04/2018,"""""",""" ""","""Completed"""
"""6204270""","""1577760""","""A-000159794""",06/04/2018,"""""",""" ""","""Completed"""
"""6204312""","""1577767""","""A-000159966""",06/04/2018,"""""",""" ""","""Completed"""
"""6204313""","""1577767""","""A-000159966""",06/04/2018,"""""",""" ""","""Completed"""
"""6204314""","""1577769""","""A-000159968""",06/04/2018,"""""",""" ""","""Completed"""
"""6216998""","""1578821""","""A-000166177""",21/04/2018,"""""",""" ""","""Completed"""
"""6216999""","""1578819""","""A-000166175""",21/04/2018,"""""",""" ""","""Completed"""
"""6217000""","""1578820""","""A-000166176""",21/04/2018,"""""",""" ""","""Completed"""
"""6217005""","""1578822""","""A-000166178""",21/04/2018,"""""",""" ""","""Completed"""
"""6217009""","""1578824""","""A-000166180""",21/04/2018,"""""",""" ""","""Completed"""
"""6217013""","""1578823""","""A-000166179""",21/04/2018,"""""",""" ""","""Completed"""
"""6233150""","""1579650""","""A-000172083""",09/05/2018,"""""",""" ""","""Completed"""
"""6233151""","""1579651""","""A-000172084""",09/05/2018,"""""",""" ""","""Completed"""
"""6233269""","""1579652""","""A-000172085""",09/05/2018,"""""",""" ""","""Completed"""
"""6217049""","""1578828""","""A-000166184""",21/04/2018,"""""",""" ""","""Completed"""
"""6194513""","""1577390""","""A-000156280""",26/03/2018,"""""",""" ""","""Completed/Cancelled"""
"""6224070""","""1579052""","""A-000167117""",30/04/2018,"""""",""" ""","""Completed"""
"""6235707""","""1579717""","""A-000172285""",12/05/2018,"""""",""" ""","""Completed"""
"""6235719""","""1579720""","""A-000172287""",12/05/2018,"""""",""" ""","""Completed"""
"""6209702""","""1578478""","""A-000161249""",12/04/2018,"""""",""" ""","""Completed"""
"""6209703""","""1578479""","""A-000161250""",12/04/2018,"""""",""" ""","""Completed"""
"""6209835""","""1578480""","""A-000161251""",12/04/2018,"""""",""" ""","""Completed"""
"""6209838""","""1578482""","""A-000161252""",12/04/2018,"""""",""" ""","""Completed"""
"""6209904""","""1578488""","""A-000161597""",12/04/2018,"""""",""" ""","""Completed"""
"""6209905""","""1578487""","""A-000161480""",12/04/2018,"""""",""" ""","""Completed"""
"""6209926""","""1578489""","""A-000161598""",12/04/2018,"""""",""" ""","""Completed"""
"""6212201""","""1578675""","""A-000164165""",16/04/2018,"""""",""" ""","""Completed"""
"""6212572""","""1578722""","""A-000164169""",16/04/2018,"""""",""" ""","""Completed"""
"""6217059""","""1578831""","""A-000166187""",21/04/2018,"""""",""" ""","""Completed"""
"""6217060""","""1578830""","""A-000166186""",21/04/2018,"""""",""" ""","""Completed"""
"""6217063""","""1578871""","""A-000166188""",22/04/2018,"""""",""" ""","""Completed"""
"""6235729""","""1579718""","""A-000172286""",12/05/2018,"""""",""" ""","""Completed"""
"""6235731""","""1579721""","""A-000172288""",12/05/2018,"""""",""" ""","""Completed"""
"""6235735""","""1579725""","""A-000172292""",12/05/2018,"""""",""" ""","""Completed"""
"""6235737""","""1579722""","""A-000172289""",12/05/2018,"""""",""" ""","""Completed"""
"""6235738""","""1579724""","""A-000172291""",12/05/2018,"""""",""" ""","""Completed"""
"""6235750""","""1579726""","""A-000172293""",12/05/2018,"""""",""" ""","""Completed"""
"""6235751""","""1579726""","""A-000172293""",12/05/2018,"""""",""" ""","""Completed"""
"""6235752""","""1579727""","""A-000172294""",12/05/2018,"""""",""" ""","""Completed"""
"""6119524""","""1573530""","""A-000148147""",04/04/2018,"""Till & E1 don't balance""",""" ""","""Completed"""
"""6143642""","""1574752""","""A-000149658""",04/04/2018,"""E1 and Till don't balance""",""" ""","""Completed"""
"""6145508""","""1573636""","""A-000148516""",04/04/2018,"""E1 & Till don't balance""","""SENT CREDIT NOTE TO CELLAR DOOR PLEASE.""","""Completed"""
"""6192065""","""1577313""","""A-000156077""",22/03/2018,"""1803-SC5K-O""","""Leave under cover ""","""Completed"""
"""6217090""","""1578875""","""A-000166191""",22/04/2018,"""""",""" ""","""Completed/Cancelled"""
"""6235772""","""1579871""","""A-000172296""",13/05/2018,"""""",""" ""","""Completed"""
"""6235789""","""1579873""","""A-000172297""",13/05/2018,"""""",""" ""","""Completed"""
"""6235790""","""1579873""","""A-000172297""",13/05/2018,"""""",""" ""","""Completed"""
"""6234640""","""1579674""","""A-000172094""",10/05/2018,"""""",""" ""","""Completed"""
"""6234668""","""1579678""","""A-000172096""",10/05/2018,"""1805-PU4D-O""","""Leave by the front door ""","""Completed/Cancelled"""
"""6198394""","""1577498""","""A-000157592""",31/03/2018,"""""",""" ""","""Completed/Cancelled"""
"""6198397""","""1577499""","""A-000157593""",31/03/2018,"""""",""" ""","""Completed"""
"""6198405""","""1577501""","""A-000157595""",31/03/2018,"""""",""" ""","""Completed/Cancelled"""
"""6198410""","""1577506""","""A-000157600""",31/03/2018,"""""",""" ""","""Completed/Cancelled"""
"""6198411""","""1577505""","""A-000157599""",31/03/2018,"""""",""" ""","""Completed/Cancelled"""
"""6210902""","""1578507""","""A-000164146""",14/04/2018,"""""",""" ""","""Completed"""
"""6210911""","""1578508""","""A-000164147""",14/04/2018,"""""",""" ""","""Completed"""
"""6210912""","""1578508""","""A-000164147""",14/04/2018,"""""",""" ""","""Completed"""
"""6210913""","""1578508""","""A-000164147""",14/04/2018,"""""",""" ""","""Completed"""
"""6198420""","""1577507""","""A-000157601""",31/03/2018,"""""",""" ""","""Completed"""
"""6198430""","""1568502""","""A-000131990""",31/03/2018,"""""",""" ""","""Completed"""
"""6198433""","""1577511""","""A-000157605""",31/03/2018,"""""",""" ""","""Completed/Cancelled"""
"""6198434""","""1577513""","""A-000157607""",31/03/2018,"""""",""" ""","""Completed"""
"""6198435""","""1577512""","""A-000157606""",31/03/2018,"""""",""" ""","""Completed"""
"""6198448""","""1577515""","""A-000157609""",31/03/2018,"""""",""" ""","""Completed"""
"""6210935""","""1578511""","""A-000164150""",14/04/2018,"""""",""" ""","""Completed"""
"""6210936""","""1569139""","""A-000133073""",14/04/2018,"""""",""" ""","""Completed"""
"""6210937""","""1578509""","""A-000164148""",14/04/2018,"""""",""" ""","""Completed"""
"""6210938""","""1578509""","""A-000164148""",14/04/2018,"""""",""" ""","""Completed"""
"""6210940""","""1569139""","""A-000133073""",14/04/2018,"""""",""" ""","""Completed"""
"""6210943""","""1578510""","""A-000164149""",14/04/2018,"""""",""" ""","""Completed"""
"""6210945""","""1578512""","""A-000164151""",14/04/2018,"""""",""" ""","""Completed"""
"""6234752""","""1571951""","""A-000147751""",10/05/2018,"""1805-JRDK-O""","""Leave under cover ""","""Completed/Cancelled"""
"""6198451""","""1577516""","""A-000157610""",31/03/2018,"""""",""" ""","""Completed"""
"""6198452""","""1577517""","""A-000157611""",31/03/2018,"""""",""" ""","""Completed/Cancelled"""
"""6198457""","""1577518""","""A-000157612""",31/03/2018,"""""",""" ""","""Completed/Cancelled"""
"""6198461""","""1577516""","""A-000157610""",31/03/2018,"""""",""" ""","""Completed/Cancelled"""
"""6198462""","""1577519""","""A-000157613""",31/03/2018,"""""",""" ""","""Completed"""
"""6198463""","""1577520""","""A-000157614""",31/03/2018,"""""",""" ""","""Completed"""
"""6198466""","""1577519""","""A-000157613""",31/03/2018,"""""",""" ""","""Completed"""
"""6198472""","""1577525""","""A-000157619""",31/03/2018,"""""",""" ""","""Completed"""
"""6198475""","""1577524""","""A-000157618""",31/03/2018,"""""",""" ""","""Completed/Cancelled"""
"""6198479""","""1577523""","""A-000157617""",31/03/2018,"""""",""" ""","""Completed"""
"""6198481""","""1577526""","""A-000157620""",31/03/2018,"""""",""" ""","""Completed"""
"""6210959""","""1578514""","""A-000164153""",14/04/2018,"""""",""" ""","""Completed/Cancelled"""
"""6210964""","""1578661""","""A-000164156""",15/04/2018,"""""",""" ""","""Completed"""
"""6210967""","""1578660""","""A-000164155""",15/04/2018,"""""",""" ""","""Completed"""
"""6210971""","""1578662""","""A-000164157""",15/04/2018,"""""",""" ""","""Completed"""
"""6210980""","""1578663""","""A-000164158""",15/04/2018,"""""",""" ""","""Completed"""
"""6210983""","""1578665""","""A-000164160""",15/04/2018,"""""",""" ""","""Completed/Cancelled"""
"""6198490""","""1577527""","""A-000157621""",31/03/2018,"""""",""" ""","""Completed/Cancelled"""
"""6198491""","""1568623""","""A-000132114""",31/03/2018,"""""",""" ""","""Completed/Cancelled"""
"""6198506""","""1577604""","""A-000157625""",01/04/2018,"""""",""" ""","""Completed/Cancelled"""
"""6198512""","""1577605""","""A-000157626""",01/04/2018,"""""",""" ""","""Completed/Cancelled"""
"""6198515""","""1577607""","""A-000157628""",01/04/2018,"""""",""" ""","""Completed/Cancelled"""
"""6198521""","""1577609""","""A-000157630""",01/04/2018,"""""",""" ""","""Completed"""
"""6198134""","""1577488""","""A-000157585""",29/03/2018,"""""",""" ""","""Completed"""
"""6198135""","""1577490""","""A-000157586""",29/03/2018,"""""",""" ""","""Completed/Cancelled"""
"""6198165""","""1577492""","""A-000157587""",29/03/2018,"""""",""" ""","""Completed"""
"""6203502""","""1577726""","""A-000159440""",05/04/2018,"""""",""" ""","""Completed"""
"""6213570""","""1578744""","""A-000164346""",17/04/2018,"""""",""" ""","""Completed"""
"""6213840""","""1578749""","""A-000164690""",17/04/2018,"""""",""" ""","""Completed"""
"""6214864""","""1578768""","""A-000165386""",18/04/2018,"""""",""" ""","""Completed"""
"""6198526""","""1577610""","""A-000157631""",01/04/2018,"""""",""" ""","""Completed/Cancelled"""
"""6198527""","""1577608""","""A-000157629""",01/04/2018,"""""",""" ""","""Completed"""
"""6198529""","""1577277""","""A-000155462""",01/04/2018,"""""",""" ""","""Completed"""
"""6198530""","""1570732""","""A-000140815""",01/04/2018,"""""",""" ""","""Completed/Cancelled"""
"""6198531""","""1577612""","""A-000157633""",01/04/2018,"""""",""" ""","""Completed"""
"""6198554""","""1577613""","""A-000157634""",01/04/2018,"""""",""" ""","""Completed"""
"""6198555""","""1577614""","""A-000157635""",01/04/2018,"""""",""" ""","""Completed"""
"""6198557""","""1577615""","""A-000157636""",01/04/2018,"""""",""" ""","""Completed"""
"""6307121""","""1587706""","""A-000177793""",03/08/2018,"""""",""" ""","""Completed"""
"""6322783""","""1588697""","""A-000180879""",21/08/2018,"""""",""" ""","""Completed"""
"""6332299""","""1589018""","""A-000181516""",02/09/2018,"""""",""" ""","""Completed"""
"""6332300""","""1589019""","""A-000181517""",02/09/2018,"""""",""" ""","""Completed"""
"""6332303""","""1589021""","""A-000181518""",02/09/2018,"""""",""" ""","""Completed"""
"""6332306""","""1589022""","""A-000181519""",02/09/2018,"""""",""" ""","""Completed"""
"""6332307""","""1568692""","""A-000132172""",02/09/2018,"""""",""" ""","""Completed"""
"""6332308""","""1589024""","""A-000181521""",02/09/2018,"""""",""" ""","""Completed"""
"""6332310""","""1589023""","""A-000181520""",02/09/2018,"""""",""" ""","""Completed"""
"""6344108""","""1589421""","""A-000182856""",14/09/2018,"""13231""",""" ""","""Completed"""
"""6282900""","""1586719""","""A-000175977""",06/07/2018,"""""",""" ""","""Completed/Cancelled"""
"""6287095""","""1587015""","""A-000176358""",11/07/2018,"""""",""" ""","""Completed"""
"""6307177""","""1587707""","""A-000177794""",03/08/2018,"""""",""" ""","""Completed"""
"""6307178""","""1587708""","""A-000177795""",03/08/2018,"""""",""" ""","""Completed/Cancelled"""
"""6252472""","""1584141""","""A-000172828""",31/05/2018,"""""",""" ""","""Completed"""
"""6252474""","""1584143""","""A-000172829""",31/05/2018,"""""",""" ""","""Completed"""
"""6282937""","""1586723""","""A-000175978""",06/07/2018,"""""",""" ""","""Completed"""
"""6289194""","""1587080""","""A-000176405""",14/07/2018,"""""",""" ""","""Completed"""
"""6289195""","""1587081""","""A-000176406""",14/07/2018,"""""",""" ""","""Completed"""
"""6300242""","""1587465""","""A-000177210""",26/07/2018,"""""",""" ""","""Completed"""
"""6300243""","""1587465""","""A-000177210""",26/07/2018,"""""",""" ""","""Completed"""
"""6300244""","""1587467""","""A-000177211""",26/07/2018,"""""",""" ""","""Completed"""
"""6322858""","""1588699""","""A-000180881""",21/08/2018,"""""",""" ""","""Completed"""
"""6322859""","""1588700""","""A-000180882""",21/08/2018,"""""",""" ""","""Completed"""
"""6344378""","""1589432""","""A-000182859""",14/09/2018,"""13244""",""" ""","""Completed"""
"""6347779""","""1589548""","""A-000183242""",18/09/2018,"""13336""",""" ""","""Completed"""
"""6357808""","""1589891""","""A-000186386""",01/10/2018,"""13758""",""" ""","""Completed"""
"""6289209""","""1576316""","""A-000153032""",14/07/2018,"""""",""" ""","""Completed"""
"""6289210""","""1587083""","""A-000176408""",14/07/2018,"""""",""" ""","""Completed"""
"""6289213""","""1587082""","""A-000176407""",14/07/2018,"""""",""" ""","""Completed"""
"""6289214""","""1587084""","""A-000176409""",14/07/2018,"""""",""" ""","""Completed"""
"""6289228""","""1587110""","""A-000176410""",15/07/2018,"""""",""" ""","""Completed"""
"""6289231""","""1587111""","""A-000176411""",15/07/2018,"""""",""" ""","""Completed"""
"""6289233""","""1587112""","""A-000176412""",15/07/2018,"""""",""" ""","""Completed"""
"""6289234""","""1587113""","""A-000176413""",15/07/2018,"""""",""" ""","""Completed"""
"""6289235""","""1587113""","""A-000176413""",15/07/2018,"""""",""" ""","""Completed"""
"""6350559""","""1589625""","""A-000186204""",21/09/2018,"""13400""",""" ""","""Completed"""
"""6359769""","""1589952""","""A-000186975""",02/10/2018,"""13821""",""" ""","""Completed"""
"""6264560""","""1585338""","""A-000175113""",14/06/2018,"""""",""" ""","""Completed"""
"""6283047""","""1586875""","""A-000176329""",08/07/2018,"""1807-JKZA-O""","""Granny flat to right of garage ""","""Completed/Cancelled"""
"""6289237""","""1587114""","""A-000176414""",15/07/2018,"""""",""" ""","""Completed"""
"""6289239""","""1587115""","""A-000176415""",15/07/2018,"""""",""" ""","""Completed"""
"""6289240""","""1587116""","""A-000176416""",15/07/2018,"""""",""" ""","""Completed"""
"""6289241""","""1587117""","""A-000176417""",15/07/2018,"""""",""" ""","""Completed"""
"""6289243""","""1569329""","""A-000133888""",15/07/2018,"""""",""" ""","""Completed"""
"""6316380""","""1577313""","""A-000156077""",14/08/2018,"""1808-HMU8-O""","""Leave by the front door ""","""Completed"""
"""6336565""","""1589139""","""A-000181542""",05/09/2018,"""""",""" ""","""Completed"""
"""6357800""","""1589890""","""A-000186385""",01/10/2018,"""13755""",""" ""","""Completed"""
"""6359581""","""1589947""","""A-000186401""",02/10/2018,"""13815""",""" ""","""Completed"""
"""6252538""","""1584155""","""A-000172830""",31/05/2018,"""""",""" ""","""Completed"""
"""6347936""","""1589549""","""A-000183243""",18/09/2018,"""13341""",""" ""","""Completed"""
"""6347937""","""1589550""","""A-000183244""",18/09/2018,"""13342""",""" ""","""Completed"""
"""6255254""","""1584624""","""A-000173357""",04/06/2018,"""""",""" ""","""Completed"""
"""6258918""","""1584721""","""A-000173840""",07/06/2018,"""""",""" ""","""Completed"""
"""6258937""","""1584722""","""A-000173847""",07/06/2018,"""""",""" ""","""Completed"""
"""6264641""","""1584655""","""A-000173371""",14/06/2018,"""""",""" ""","""Completed"""
"""6240526""","""1571723""","""A-000144332""",17/05/2018,"""1805-KVQG-O""","""Leave under cover ""","""Completed/Cancelled"""
"""6253446""","""1580263""","""A-000172776""",01/06/2018,"""""",""" ""","""Completed"""
"""6253447""","""1584199""","""A-000173020""",01/06/2018,"""""",""" ""","""Completed"""
"""6253448""","""1574399""","""A-000148744""",01/06/2018,"""""",""" ""","""Completed"""
"""6253449""","""1584200""","""A-000173021""",01/06/2018,"""""",""" ""","""Completed"""
"""6346431""","""1589433""","""A-000182860""",17/09/2018,"""1809-N2AD-O""","""Biz time:09:00–17:00 and call 0296441851 if needed""","""Completed/Cancelled"""
"""6367633""","""1590183""","""A-000188540""",10/10/2018,"""14003""",""" ""","""Completed/Cancelled"""
"""6367634""","""1590184""","""A-000188541""",10/10/2018,"""14005""",""" ""","""Completed"""
"""6369202""","""1590223""","""A-000188911""",12/10/2018,"""14078""",""" ""","""Completed"""
"""6243166""","""1580093""","""A-000172369""",21/05/2018,"""""",""" ""","""Completed"""
"""6255294""","""1584625""","""A-000173358""",04/06/2018,"""""",""" ""","""Completed"""
"""6255295""","""1584625""","""A-000173358""",04/06/2018,"""""",""" ""","""Completed"""
"""6241173""","""1580002""","""A-000172329""",18/05/2018,"""1805-GXS4-O""",""" ""","""Completed"""
"""6241278""","""1580004""","""A-000172330""",18/05/2018,"""""",""" ""","""Completed"""
"""6241327""","""1580005""","""A-000172331""",18/05/2018,"""""",""" ""","""Completed"""
"""6294809""","""1587265""","""A-000176980""",20/07/2018,"""""",""" ""","""Completed"""
"""6353571""","""1589749""","""A-000186252""",25/09/2018,"""13527""",""" ""","""Completed"""
"""6353578""","""1589751""","""A-000186253""",25/09/2018,"""13535""",""" ""","""Completed"""
"""6353579""","""1589751""","""A-000186253""",25/09/2018,"""13532""",""" ""","""Completed"""
"""6365858""","""1590129""","""A-000188516""",09/10/2018,"""13980""",""" ""","""Completed"""
"""6369208""","""1590224""","""A-000188912""",12/10/2018,"""14083""",""" ""","""Completed/Cancelled"""
"""6369209""","""1590225""","""A-000188913""",12/10/2018,"""14084""",""" ""","""Completed/Cancelled"""
"""6241387""","""1580009""","""A-000172332""",18/05/2018,"""""",""" ""","""Completed"""
"""6241388""","""1580009""","""A-000172332""",18/05/2018,"""""",""" ""","""Completed"""
"""6281453""","""1586673""","""A-000175765""",04/07/2018,"""""",""" ""","""Completed"""
"""6290992""","""1587130""","""A-000176420""",16/07/2018,"""""",""" ""","""Completed"""
"""6290993""","""1587130""","""A-000176420""",16/07/2018,"""""",""" ""","""Completed"""
"""6340054""","""1589277""","""A-000181590""",10/09/2018,"""13145""",""" ""","""Completed"""
"""6375325""","""1590394""","""A-000191306""",19/10/2018,"""14242""",""" ""","""Completed"""
"""6375327""","""1590394""","""A-000191306""",19/10/2018,"""14244""",""" ""","""Completed"""
"""6377394""","""1590566""","""A-000191871""",22/10/2018,"""14374""",""" ""","""Completed"""
"""6377395""","""1590567""","""A-000191872""",22/10/2018,"""14375""",""" ""","""Completed"""
"""6249143""","""1572055""","""A-000147756""",28/05/2018,"""1805-AZJA-O""","""Leave by the front door ""","""Completed"""
"""6306661""","""1587684""","""A-000177786""",02/08/2018,"""""",""" ""","""Completed"""
"""6349890""","""1589588""","""A-000184871""",20/09/2018,"""13370""",""" ""","""Completed"""
"""6382480""","""1590686""","""A-000192977""",27/10/2018,"""14493""",""" ""","""Completed"""
"""6382488""","""1590688""","""A-000192979""",27/10/2018,"""14494""",""" ""","""Completed"""
"""6382489""","""1590687""","""A-000192978""",27/10/2018,"""14495""",""" ""","""Completed"""
"""6382492""","""1590689""","""A-000192980""",27/10/2018,"""14501""",""" ""","""Completed"""
"""6382493""","""1590689""","""A-000192980""",27/10/2018,"""14502""",""" ""","""Completed"""
"""6382494""","""1590689""","""A-000192980""",27/10/2018,"""14503""",""" ""","""Completed"""
"""6382496""","""1590692""","""A-000192982""",27/10/2018,"""14498""",""" ""","""Completed"""
"""6382497""","""1590693""","""A-000192983""",27/10/2018,"""14511""",""" ""","""Completed"""
"""6382498""","""1590691""","""A-000192981""",27/10/2018,"""14510""",""" ""","""Completed"""
"""6382504""","""1590694""","""A-000192984""",27/10/2018,"""14513""",""" ""","""Completed"""
"""6382508""","""1590646""","""A-000192423""",27/10/2018,"""14512""",""" ""","""Completed"""
"""6382511""","""1590696""","""A-000192986""",27/10/2018,"""14517""",""" ""","""Completed"""
"""6382512""","""1590697""","""A-000192987""",27/10/2018,"""14520""",""" ""","""Completed"""
"""6382562""","""1578961""","""A-000166390""",28/10/2018,"""14568""",""" ""","""Completed"""
"""6382563""","""1590708""","""A-000192995""",28/10/2018,"""14544""",""" ""","""Completed"""
"""6382566""","""1590709""","""A-000192996""",28/10/2018,"""14545""",""" ""","""Completed"""
"""6382567""","""1590710""","""A-000192997""",28/10/2018,"""14546""",""" ""","""Completed"""
"""6258625""","""1584706""","""A-000173834""",07/06/2018,"""""",""" ""","""Completed"""
"""6258627""","""1584707""","""A-000173835""",07/06/2018,"""""",""" ""","""Completed"""
"""6325808""","""1588801""","""A-000181426""",25/08/2018,"""""",""" ""","""Completed"""
"""6325810""","""1588800""","""A-000181425""",25/08/2018,"""""",""" ""","""Completed"""
"""6325811""","""1588803""","""A-000181428""",25/08/2018,"""""",""" ""","""Completed"""
"""6325820""","""1588804""","""A-000181429""",25/08/2018,"""""",""" ""","""Completed"""
"""6325823""","""1588805""","""A-000181430""",25/08/2018,"""""",""" ""","""Completed"""
"""6325824""","""1588805""","""A-000181430""",25/08/2018,"""""",""" ""","""Completed"""
"""6325834""","""1588807""","""A-000181432""",25/08/2018,"""""",""" ""","""Completed"""
"""6389112""","""1590911""","""A-000194391""",03/11/2018,"""1811-E4RJ-O""","""Leave under cover ""","""Completed/Cancelled"""
"""6392247""","""1569140""","""A-000133074""",06/11/2018,"""1811-JTBB-O""","""Leave under cover ""","""Completed/Cancelled"""
"""6282298""","""1586690""","""A-000175794""",05/07/2018,"""""",""" ""","""Completed"""
"""6325842""","""1588808""","""A-000181433""",25/08/2018,"""""",""" ""","""Completed"""
